m	FALSE	山东	807	53192	7645
m	FALSE	山东	1967	2123	196
m	FALSE	湖北	498	2147	5697
m	TRUE	广东	125	3281	157
m	FALSE	上海	1682	11128	927
m	FALSE	其他	0	21869	0
m	TRUE	上海	905	5447	3849
m	TRUE	湖北	545	103619	2673
m	FALSE	河北	1581	72510	34023
m	FALSE	福建	125	11234	122
m	FALSE	上海	307	10569	1223
m	FALSE	浙江	131	10087	122
m	FALSE	四川	109	13089	34
m	TRUE	北京	151	2029	1276
m	FALSE	海外	76	2070	17
m	TRUE	陕西	989	16907	1589
f	FALSE	河北	449	11836	6961
m	FALSE	福建	137	6931	156
m	FALSE	浙江	486	4858	846
m	FALSE	北京	365	9324	734
m	FALSE	黑龙江	197	5502	5039
m	FALSE	重庆	175	3992	1459
m	FALSE	浙江	29	7603	101
m	FALSE	广东	181	3542	1086
m	TRUE	云南	340	2989	423
m	FALSE	浙江	1551	2243	35
m	TRUE	海外	93	2182	944
m	FALSE	重庆	602	10835	1426
m	FALSE	上海	1839	3932	3322
m	FALSE	海外	220	4881	349
m	TRUE	上海	614	12888	5325
f	FALSE	湖南	1985	2602	2171
m	TRUE	上海	346	3398	1185
f	FALSE	北京	1645	6502	1324
m	FALSE	广东	2000	2517	3134
f	FALSE	香港	186	41615	3299
m	FALSE	海外	1582	4407	8586
m	FALSE	广东	512	53265	591
f	FALSE	北京	223	26558	1278
f	FALSE	内蒙古	2000	110002	1112
f	FALSE	上海	910	7995	10025
m	FALSE	广东	480	2474	444
f	FALSE	山西	1786	12191	14370
m	FALSE	广东	773	2487	63
m	FALSE	浙江	203	2162	538
m	FALSE	福建	190	11054	163
f	FALSE	上海	663	9683	241
m	TRUE	北京	106	19086	881
m	FALSE	海南	19	2659	367
m	FALSE	广东	39	2436	562
m	FALSE	浙江	705	2420	5805
m	FALSE	上海	117	10643	1618
m	FALSE	广东	294	2253	1722
f	FALSE	北京	402	6759	250
m	FALSE	广东	1034	6804	2195
m	FALSE	海南	105	4699	825
m	FALSE	北京	80	9842	212
m	FALSE	辽宁	411	2431	1746
m	FALSE	天津	111	17660	2447
m	TRUE	上海	705	2618	1618
m	FALSE	陕西	152	7856	846
m	TRUE	北京	211	2292	1878
m	FALSE	河南	392	2125	3379
f	FALSE	上海	301	2463	9303
m	TRUE	北京	641	5782	2333
m	FALSE	上海	1057	2062	317
m	FALSE	青海	204	2697	5128
f	FALSE	广东	916	16237	1848
m	FALSE	北京	588	41329	1393
f	FALSE	江苏	609	35655	3809
m	FALSE	北京	401	2441	1951
m	FALSE	陕西	189	3768	798
m	FALSE	江苏	417	2220	1843
m	FALSE	北京	1277	4589	1926
f	FALSE	山东	361	2620	1579
m	FALSE	广西	1546	11230	376
m	FALSE	黑龙江	406	2323	5960
m	FALSE	北京	1975	2310	14286
f	FALSE	广东	231	2133	541
m	TRUE	黑龙江	1135	13547	658
m	FALSE	福建	2000	2864	361
m	FALSE	天津	695	2177	1168
f	FALSE	新疆	1011	2628	319
m	FALSE	其他	150	4841	460
